"Counter","Type","From Ck","To Ck","Num Iss","Num Void","Amt Iss","Amt Void","Date Generated"
"3042","Range     ","00845183  ","00845229  ","","","","",""
"3042","Totals    ","","","47","0","1270073.2600","0.0000","6/24/2022 12:00:00 AM"
"3041","Range     ","00845157  ","00845180  ","","","","",""
"3041","Totals    ","","","24","0","72949.4300","0.0000","6/23/2022 12:00:00 AM"
"3040","Range     ","00845068  ","00845085  ","","","","",""
"3040","Range     ","00845087  ","00845155  ","","","","",""
"3040","Totals    ","","","87","0","1340546.1700","0.0000","6/23/2022 12:00:00 AM"
"3037","Range     ","00845062  ","00845067  ","","","","",""
"3037","Totals    ","","","6","0","85519.8600","0.0000","6/21/2022 12:00:00 AM"
"3036","Range     ","00845047  ","00845047  ","","","","",""
"3036","Range     ","00845050  ","00845061  ","","","","",""
"3036","Totals    ","","","13","0","430040.1300","0.0000","6/20/2022 12:00:00 AM"
"3033","Range     ","00845044  ","00845046  ","","","","",""
"3033","Totals    ","","","3","0","5518.5000","0.0000","6/17/2022 12:00:00 AM"
"3032","Range     ","00845026  ","00845043  ","","","","",""
"3032","Totals    ","","","18","0","101521.4400","0.0000","6/17/2022 12:00:00 AM"
"3031","Range     ","00845024  ","00845025  ","","","","",""
"3031","Totals    ","","","2","0","207007.5700","0.0000","6/16/2022 12:00:00 AM"
"3030","Range     ","00845003  ","00845023  ","","","","",""
"3030","Totals    ","","","21","0","134930.8600","0.0000","6/16/2022 12:00:00 AM"
"3029","Range     ","00844998  ","00845002  ","","","","",""
"3029","Totals    ","","","5","0","139366.9000","0.0000","6/15/2022 12:00:00 AM"
"3028","Range     ","00844991  ","00844991  ","","","","",""
"3028","Totals    ","","","1","0","7098.9900","0.0000","6/15/2022 12:00:00 AM"
"3027","Range     ","00844969  ","00844987  ","","","","",""
"3027","Totals    ","","","19","0","398908.0800","0.0000","6/14/2022 12:00:00 AM"
